location,product,date,sa_quantity,temp_mean,temp_max,temp_min,sunshine_quant,event,price
1193,1,2011-12-31,5,10.635,11.19,10.08,56.0,New Year's Eve,1.48
1193,1,2012-01-01,0,8.845,10.76,6.93,213.0,New Year's Day,
1193,1,2012-01-02,2,5.51,7.24,3.78,285.0,New Year's Day observed,1.5
1193,1,2012-01-03,2,8.915,11.61,6.22,205.0,2nd January (substitute day),1.5
1193,1,2012-01-04,0,7.38,8.87,5.89,224.0,,
1193,1,2012-01-05,0,8.645,10.18,7.11,196.0,,
1193,1,2012-01-06,5,7.06,9.13,4.99,235.0,Epiphany,1.48
1193,1,2012-01-07,3,8.7,9.81,7.59,178.0,Orthodox Christmas Day,1.5
1193,1,2012-01-08,0,8.42,9.81,7.03,145.0,,
1193,1,2012-01-09,0,9.62,10.18,9.06,102.0,,
1193,1,2012-01-10,0,9.3,9.9,8.7,97.0,,
1193,1,2012-01-11,1,9.02,10.19,7.85,235.0,,1.5
1193,1,2012-01-12,2,7.565,11.01,4.12,250.0,,1.5
1193,1,2012-01-13,0,3.44,6.55,0.33,376.0,,
1193,1,2012-01-14,0,1.54,4.54,-1.46,233.0,Orthodox New Year,
1193,1,2012-01-15,0,4.005,6.17,1.84,274.0,,
1193,1,2012-01-16,1,2.095,4.45,-0.26,400.0,,1.5
1193,1,2012-01-17,5,2.415,5.91,-1.08,352.0,,1.48
1193,1,2012-01-18,0,8.96,10.8,7.12,50.0,,
1193,1,2012-01-19,2,8.76,10.68,6.84,218.0,,1.5
1193,1,2012-01-20,0,7.735,9.38,6.09,189.0,,
1193,1,2012-01-21,0,8.805,10.33,7.28,133.0,,
1193,1,2012-01-22,0,7.975,10.57,5.38,263.0,,
1193,1,2012-01-23,0,6.025,8.43,3.62,260.0,Chinese New Year,
1193,1,2012-01-24,0,6.41,10.04,2.78,94.0,,
1193,1,2012-01-25,0,8.835,10.04,7.63,120.0,Burns Night,
1193,1,2012-01-26,1,4.86,6.96,2.76,280.0,,1.5
1193,1,2012-01-27,8,5.35,7.71,2.99,383.0,,1.4875
1193,1,2012-01-28,6,3.7,6.61,0.79,337.0,,1.4833333333333334
1193,1,2012-01-29,1,1.995,3.53,0.46,161.0,,1.5
1193,1,2012-01-30,0,1.595,2.25,0.94,75.0,,
1193,1,2012-01-31,0,0.475,1.98,-1.03,228.0,,
1193,1,2012-02-01,4,0.49,2.53,-1.55,328.0,,1.5
1193,1,2012-02-02,3,-0.865,1.29,-3.02,468.0,,1.5
1193,1,2012-02-03,0,-2.6,0.8,-6.0,488.0,,
1193,1,2012-02-04,8,0.065,5.34,-5.21,139.0,,1.4875
1193,1,2012-02-05,0,4.54,7.17,1.91,320.0,Milad un Nabi (Mawlid),
